detector,operator,config,encoding,file,rec_tag,train_scheme,n_nodes_Gp,n_edges_Gp,op_quantile,op_threshold,node_ROC_AUC,node_PR_AUC,node_best_F1,node_FPR,node_Precision,node_Recall,P@100,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,n_alerted_nodes,covered_gt,node_prec,F1_alert@5,F1_alert@10,F1_alert@20
cosine,tered,tered+rate_single,rate_single,bin.7@400000,at400000,all,16295,326814,95.0,0.3648,0.7681,0.0112,0.125,0.072157,0.0009,0.0909,0.01,11,20,3,0.15,0.8182,0.2535,788,9,0.0114,0.6923,0.439,0.2535
gnn,tered,tered+rate_single,rate_single,bin.116,atfull,all,275848,7440800,95.0,4.4859,0.6609,0.0002,0.0009,0.246666,0.0004,0.5217,0.0,46,1,1,1.0,0.1739,0.2963,200,8,0.04,,,
gnn,tered,tered+rate_single,rate_single,bin.117,atfull,all,257690,8992677,95.0,4.4859,0.669,0.0002,0.0007,0.235711,0.0003,0.5714,0.0,35,2,2,1.0,0.3429,0.5106,400,12,0.03,,,
gnn,tered,tered+rate_single,rate_single,bin.118,atfull,all,256447,8021309,95.0,4.4859,0.7107,0.0002,0.0008,0.237203,0.0004,0.7059,0.0,34,1,1,1.0,0.3235,0.4889,200,11,0.055,,,
gnn,tered,tered+rate_single,rate_single,bin.119@500000,at500000,all,17252,387473,95.0,4.4859,0.9328,0.1281,0.2778,0.00934,0.0359,0.4,0.06,15,5,4,0.8,1.0,0.8889,1000,15,0.015,0.8889,,
gnn,tered,tered+rate_single,rate_single,bin.120,atfull,all,285794,7238320,95.0,4.4859,0.7261,0.0002,0.0007,0.248723,0.0003,0.7308,0.0,26,2,2,1.0,0.4231,0.5946,400,11,0.0275,,,
gnn,tered,tered+rate_single,rate_single,bin.6@400000,at400000,all,22350,295913,95.0,4.4859,0.8171,0.0009,0.0035,0.080256,0.0017,0.3333,0.0,9,3,2,0.6667,0.6667,0.6667,407,6,0.0147,,,
gnn,tered,tered+rate_single,rate_single,bin.7@400000,at400000,all,16295,326814,95.0,4.4859,0.9274,0.1048,0.3158,0.003746,0.0615,0.3636,0.04,11,9,4,0.4444,0.8182,0.576,828,9,0.0109,0.6575,,
cosine,tered,tered+none,none,bin.116,atfull,all,275848,7440800,95.0,0.4074,0.557,0.0004,0.0034,0.182537,0.0003,0.3696,0.0,46,1,0,0.0,0.0,0.0,46,0,0.0,,,
cosine,tered,tered+none,none,bin.117,atfull,all,257690,8992677,95.0,0.4074,0.6431,0.0006,0.0051,0.175646,0.0004,0.4571,0.0,35,1,0,0.0,0.0,0.0,44,0,0.0,,,
cosine,tered,tered+none,none,bin.118,atfull,all,256447,8021309,95.0,0.4074,0.6743,0.0007,0.006,0.172897,0.0003,0.4412,0.0,34,1,1,1.0,0.0294,0.0571,52,1,0.0192,,,
cosine,tered,tered+none,none,bin.119@500000,at500000,all,17252,387473,95.0,0.4074,0.6762,0.0016,0.0152,0.067181,0.0017,0.1333,0.0,15,0,0,0.0,0.0,0.0,0,0,0.0,,,
cosine,tered,tered+none,none,bin.120,atfull,all,285794,7238320,95.0,0.4074,0.5706,0.0004,0.004,0.176937,0.0002,0.3846,0.0,26,1,0,0.0,0.0,0.0,107,0,0.0,,,
cosine,tered,tered+none,none,bin.6@400000,at400000,all,22350,295913,95.0,0.4074,0.6156,0.0005,0.0016,0.034734,0.0,0.0,0.0,9,1,0,0.0,0.0,0.0,200,0,0.0,,,
cosine,tered,tered+none,none,bin.7@400000,at400000,all,16295,326814,95.0,0.4074,0.4893,0.0009,0.0122,0.062822,0.001,0.0909,0.0,11,0,0,0.0,0.0,0.0,0,0,0.0,,,
gnn,tered,tered+none,none,bin.116,atfull,all,275848,7440800,95.0,3661369.5,0.624,0.0002,0.0007,0.128763,0.0,0.0217,0.0,46,1,1,1.0,0.1304,0.2308,200,6,0.03,,,
gnn,tered,tered+none,none,bin.117,atfull,all,257690,8992677,95.0,3661369.5,0.6188,0.0002,0.0007,0.135181,0.0,0.0,0.0,35,2,2,1.0,0.2571,0.4091,400,9,0.0225,,,
gnn,tered,tered+none,none,bin.118,atfull,all,256447,8021309,95.0,3661369.5,0.6741,0.0002,0.0007,0.146108,0.0,0.0,0.0,34,1,1,1.0,0.3235,0.4889,200,11,0.055,,,
gnn,tered,tered+none,none,bin.119@500000,at500000,all,17252,387473,95.0,3661369.5,0.6524,0.1117,0.3077,0.192551,0.0021,0.4667,0.04,15,4,3,0.75,0.7333,0.7416,800,11,0.0138,,,
gnn,tered,tered+none,none,bin.120,atfull,all,285794,7238320,95.0,3661369.5,0.6796,0.0002,0.0006,0.119254,0.0,0.0,0.0,26,1,1,1.0,0.2308,0.375,200,6,0.03,,,
gnn,tered,tered+none,none,bin.6@400000,at400000,all,22350,295913,95.0,3661369.5,0.5515,0.0003,0.0012,0.147576,0.0003,0.1111,0.0,9,4,3,0.75,0.8889,0.8136,607,8,0.0132,,,
gnn,tered,tered+none,none,bin.7@400000,at400000,all,16295,326814,95.0,3661369.5,0.7781,0.1079,0.3158,0.015414,0.0157,0.3636,0.03,11,4,3,0.75,0.8182,0.7826,218,9,0.0413,,,
