detector,operator,config,encoding,file,rec_tag,train_scheme,n_nodes_Gp,n_edges_Gp,op_quantile,op_threshold,node_ROC_AUC,node_PR_AUC,node_best_F1,node_FPR,node_Precision,node_Recall,P@100,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,n_alerted_nodes,covered_gt,node_prec,F1_alert@5,F1_alert@10,F1_alert@20
cosine,tered,tered+rate_ratio,rate_ratio,bin.120,atfull,clean,285794,7238320,95.0,0.3145,0.8992,0.0391,0.2069,0.156823,0.0004,0.6923,0.07,26,20,7,0.35,0.6154,0.4462,2487,16,0.0064,0.3922,0.5882,0.4462
cosine,tered,tered+rate_ratio,rate_ratio,bin.6@400000,at400000,clean,22350,295913,95.0,0.3145,0.8421,0.0016,0.0059,0.0534,0.0017,0.2222,0.0,9,20,2,0.1,0.7778,0.1772,601,7,0.0116,0.5283,0.3182,0.1772
cosine,tered,tered+rate_ratio,rate_ratio,bin.7@400000,at400000,clean,16295,326814,95.0,0.3145,0.798,0.0259,0.1538,0.071358,0.0051,0.5455,0.01,11,20,3,0.15,0.8182,0.2535,770,9,0.0117,0.5161,0.439,0.2535
cosine,tered,tered+dual_naive,dual_naive,bin.116,atfull,clean,275848,7440800,95.0,0.3495,0.806,0.0213,0.1739,0.16022,0.0005,0.5,0.06,46,20,5,0.25,0.3913,0.3051,2017,18,0.0089,0.4038,0.439,0.3051
cosine,tered,tered+dual_naive,dual_naive,bin.117,atfull,clean,257690,8992677,95.0,0.3495,0.8968,0.0377,0.2133,0.156197,0.0006,0.6857,0.1,35,20,8,0.4,0.6857,0.5053,2340,24,0.0103,0.6468,0.6779,0.5053
cosine,tered,tered+dual_naive,dual_naive,bin.118,atfull,clean,256447,8021309,95.0,0.3495,0.8956,0.0388,0.2018,0.155854,0.0007,0.7647,0.11,34,20,6,0.3,0.7059,0.4211,2711,24,0.0089,0.2857,0.3904,0.4211
cosine,tered,tered+dual_naive,dual_naive,bin.119@500000,at500000,clean,17252,387473,95.0,0.3495,0.9058,0.071,0.2353,0.061264,0.0056,0.4,0.02,15,20,1,0.05,0.8667,0.0945,1058,13,0.0123,0.325,0.1793,0.0945
cosine,tered,tered+dual_naive,dual_naive,bin.120,atfull,clean,285794,7238320,95.0,0.3495,0.8934,0.0374,0.2034,0.159154,0.0004,0.6923,0.07,26,20,7,0.35,0.6538,0.4559,2517,17,0.0068,0.4962,0.5,0.4559
cosine,tered,tered+dual_naive,dual_naive,bin.6@400000,at400000,clean,22350,295913,95.0,0.3495,0.8258,0.0013,0.0046,0.047357,0.0009,0.1111,0.0,9,20,2,0.1,0.7778,0.1772,613,7,0.0114,0.5283,0.3182,0.1772
cosine,tered,tered+dual_naive,dual_naive,bin.7@400000,at400000,clean,16295,326814,95.0,0.3495,0.7832,0.0252,0.1538,0.072894,0.0017,0.1818,0.01,11,20,3,0.15,0.8182,0.2535,759,9,0.0119,0.6923,0.439,0.2535
