n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
34,20,2,0.1,0.1765,0.1277,0.2564,1,1,1,1370,6,0.0044,0.0,0.0,0.0086,0.2564,0.2273,0.2041,0.1695,0.119,0.1277,A4,v4_drop_out_in_ratio,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,out_in_ratio,13.4
34,20,3,0.15,0.2059,0.1736,0.2564,1,1,1,2659,7,0.0026,0.1765,0.06,0.1412,0.2564,0.2273,0.2041,0.1695,0.119,0.1736,A4,v4_drop_nbr_type_div,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,nbr_type_div,13.9
34,20,0,0.0,0.0,0.0,0.0,0,0,0,1883,0,0.0,0.1765,0.06,0.24,0.0,0.0,0.0,0.0,0.0,0.0,A4,v4_drop_self_loop,identity+rate,rate,bin.116,atfull,100,20,raw,287061,9333694,self_loop,14.0
46,20,2,0.1,0.2609,0.1446,0.4138,2,1,1,734,12,0.0163,0.1304,0.06,0.1739,0.2963,0.4138,0.375,0.3158,0.2264,0.1446,A1,base,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,11.7
46,20,5,0.25,0.0217,0.04,0.04,20,15,0,20,1,0.05,0.1304,0.06,0.1739,0.0,0.0,0.0,0.0,0.0,0.04,A1,no_bfs,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,0.1
46,20,5,0.25,0.3696,0.2982,0.4645,8,1,1,2017,17,0.0084,0.1304,0.06,0.1739,0.2963,0.2581,0.375,0.4038,0.425,0.2982,A1,no_rank,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,11.6
46,20,4,0.2,0.3043,0.2414,0.3571,2,1,1,2163,14,0.0065,0.1304,0.06,0.1739,0.2963,0.3571,0.3279,0.2817,0.2661,0.2414,A1,bfs_q50,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,11.6
46,8,0,0.0,0.0,0.0,0.0,0,0,0,66,0,0.0,0.1304,0.06,0.1739,0.0,0.0,0.0,0.0,,,A1,bfs_q90,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,10.5
46,20,5,0.25,0.3696,0.2982,0.4645,8,1,1,2017,17,0.0084,0.1304,0.06,0.1739,0.2963,0.2581,0.375,0.4038,0.425,0.2982,A1,w100,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,11.6
46,20,2,0.1,0.2609,0.1446,0.4138,2,1,1,734,12,0.0163,0.1304,0.06,0.1739,0.2963,0.4138,0.375,0.3158,0.2264,0.1446,A1,w050,TeRed+naive,dual_naive,bin.116,atfull,100,20,raw,275848,7440800,11.7
