dataset,config,encoding,file,n_orig_gt,n_gt_kept,n_gt_absorbed,n_gt_reduced,n_regions,n_removed,n_nodes_orig,n_nodes_Gp,n_boundary_gt,worst_deg_delta,n_alerts,alert_TP_orig,alert_P_orig,orig_covered,orig_recall,F1_orig,alert_P_red,node_cov_red,F1_red,n_alerted_red,n_alerted_orig,orig_load_prec
e5_cadets,identity+rate_ratio,rate_ratio,bin.119@500000,10,3,7,10,0,0,18635,18635,0,0.0,20,1,0.05,8,0.8,0.0941,0.05,0.8,0.0941,1070,1070,0.00748
e5_cadets,identity+rate,rate,bin.120,21,11,10,21,0,0,295765,295765,0,0.0,20,2,0.1,7,0.3333,0.1538,0.1,0.3333,0.1538,2851,2851,0.00246
e5_cadets,TeRed+naive,dual_naive,bin.120,21,11,10,27,4736,19527,295765,285710,0,0.0,20,1,0.05,4,0.1905,0.0792,0.05,0.2593,0.0838,982,1389,0.00288
e5_cadets,TeRed+RATE,rate,bin.120,21,11,10,27,4736,19527,295765,285710,0,0.0,20,2,0.1,7,0.3333,0.1538,0.1,0.4815,0.1656,1376,2043,0.00343
e5_cadets,TeRed+RATE*,rate_ratio,bin.120,21,11,10,27,4736,19527,295765,285710,0,0.0,20,2,0.1,7,0.3333,0.1538,0.1,0.4815,0.1656,1357,2060,0.0034
e5_cadets,identity+rate_ratio,rate_ratio,bin.120,21,11,10,21,0,0,295765,295765,0,0.0,20,1,0.05,5,0.2381,0.0826,0.05,0.2381,0.0826,2468,2468,0.00203
e5_cadets,identity+rate,rate,bin.6@400000,6,2,4,6,0,0,24507,24507,0,0.0,20,3,0.15,4,0.6667,0.2449,0.15,0.5,0.2308,885,885,0.00452
e5_cadets,TeRed+naive,dual_naive,bin.6@400000,6,2,4,10,1521,5299,24507,22250,0,0.0,20,2,0.1,4,0.6667,0.1739,0.1,0.8,0.1778,669,1014,0.00394
e5_cadets,TeRed+RATE,rate,bin.6@400000,6,2,4,10,1521,5299,24507,22250,0,0.0,20,2,0.1,4,0.6667,0.1739,0.1,0.8,0.1778,680,1092,0.00366
e5_cadets,TeRed+RATE*,rate_ratio,bin.6@400000,6,2,4,10,1521,5299,24507,22250,0,0.0,20,2,0.1,4,0.6667,0.1739,0.1,0.8,0.1778,678,1095,0.00365
e5_cadets,identity+rate_ratio,rate_ratio,bin.6@400000,6,2,4,6,0,0,24507,24507,0,0.0,20,3,0.15,4,0.6667,0.2449,0.15,0.6667,0.2449,687,687,0.00582
e5_cadets,identity+rate,rate,bin.7@400000,8,3,5,8,0,0,17797,17797,0,0.0,18,3,0.1667,6,0.75,0.2727,0.1667,0.75,0.2727,1045,1045,0.00574
e5_cadets,TeRed+naive,dual_naive,bin.7@400000,8,3,5,13,1040,3605,17797,16272,0,0.0,20,2,0.1,6,0.75,0.1765,0.1,0.7692,0.177,471,818,0.00733
e5_cadets,TeRed+RATE,rate,bin.7@400000,8,3,5,13,1040,3605,17797,16272,0,0.0,20,3,0.15,6,0.75,0.25,0.15,0.6154,0.2412,470,820,0.00732
e5_cadets,TeRed+RATE*,rate_ratio,bin.7@400000,8,3,5,13,1040,3605,17797,16272,0,0.0,20,3,0.15,6,0.75,0.25,0.15,0.6154,0.2412,476,831,0.00722
e5_cadets,identity+rate_ratio,rate_ratio,bin.7@400000,8,3,5,8,0,0,17797,17797,0,0.0,20,3,0.15,6,0.75,0.25,0.15,0.625,0.2419,1099,1099,0.00546
