n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,v4_dropped,runtime_s
10,10,1,0.1,0.8,0.1778,0.8889,1,1,1,1222,8,0.0065,0.2,0.02,0.2857,0.8889,0.6154,0.4706,0.32,0.1778,,A4,v4_drop_nbr_type_div,identity+rate,rate,bin.119@500000,at500000,100,20,raw,18635,476913,nbr_type_div,0.8
10,20,1,0.05,0.9,0.0947,0.9474,1,1,1,1257,9,0.0072,0.2,0.02,0.3077,0.9474,0.6429,0.4865,0.3273,0.18,0.0947,A4,v4_drop_self_loop,identity+rate,rate,bin.119@500000,at500000,100,20,raw,18635,476913,self_loop,0.8
15,20,2,0.1,0.8667,0.1793,0.9286,2,1,1,729,13,0.0178,0.0667,0.01,0.0625,0.8462,0.9286,0.7536,0.5474,0.325,0.1793,A4,v4_drop_log_deg,TeRed+naive,dual_naive,bin.119@500000,at500000,100,20,raw,16849,255601,log_deg,0.5
15,11,2,0.1818,0.9333,0.3043,0.8462,1,1,1,1081,14,0.013,0.5333,0.08,0.1429,0.8462,0.5946,0.7778,0.56,0.3294,,A4,v4_drop_out_in_ratio,TeRed+naive,dual_naive,bin.119@500000,at500000,100,20,raw,16849,255601,out_in_ratio,0.5
15,20,2,0.1,0.9333,0.1806,0.9655,2,1,1,1032,14,0.0136,0.0667,0.01,0.1176,0.8462,0.9655,0.7778,0.56,0.3294,0.1806,A4,v4_drop_nbr_type_div,TeRed+naive,dual_naive,bin.119@500000,at500000,100,20,raw,16849,255601,nbr_type_div,0.5
15,20,2,0.1,0.9333,0.1806,0.9655,2,1,1,953,14,0.0147,0.0667,0.01,0.1176,0.8462,0.9655,0.7778,0.56,0.3294,0.1806,A4,v4_drop_self_loop,TeRed+naive,dual_naive,bin.119@500000,at500000,100,20,raw,16849,255601,self_loop,0.5
15,20,2,0.1,0.8667,0.1793,0.9286,2,1,1,873,13,0.0149,0.1333,0.02,0.0625,0.8462,0.9286,0.7536,0.5474,0.325,0.1793,A4,v4_drop_log_deg,TeRed+RATE,rate,bin.119@500000,at500000,100,20,raw,16849,255601,log_deg,0.5
15,8,1,0.125,0.9333,0.2205,0.9655,1,1,1,828,14,0.0169,0.4667,0.07,0.1562,0.9655,0.6512,0.4912,0.3294,,,A4,v4_drop_out_in_ratio,TeRed+RATE,rate,bin.119@500000,at500000,100,20,raw,16849,255601,out_in_ratio,0.5
15,20,3,0.15,0.9333,0.2585,0.8889,2,1,1,874,14,0.016,0.0667,0.01,0.1176,0.8462,0.8889,0.7273,0.7304,0.4541,0.2585,A4,v4_drop_nbr_type_div,TeRed+RATE,rate,bin.119@500000,at500000,100,20,raw,16849,255601,nbr_type_div,0.5
15,20,3,0.15,0.9333,0.2585,0.8889,2,1,1,873,14,0.016,0.0667,0.01,0.1176,0.8462,0.8889,0.7273,0.5333,0.4541,0.2585,A4,v4_drop_self_loop,TeRed+RATE,rate,bin.119@500000,at500000,100,20,raw,16849,255601,self_loop,0.5
21,20,3,0.15,0.1429,0.1463,0.1765,13,1,1,2063,3,0.0015,0.0,0.0,0.0167,0.0909,0.087,0.0833,0.0769,0.129,0.1463,A4,v4_drop_log_deg,identity+rate,rate,bin.120,atfull,100,20,raw,295765,9324081,log_deg,13.6
21,20,4,0.2,0.381,0.2623,0.3556,12,1,1,2686,8,0.003,0.0,0.0,0.0084,0.32,0.2759,0.2424,0.1951,0.3158,0.2623,A4,v4_drop_out_in_ratio,identity+rate,rate,bin.120,atfull,100,20,raw,295765,9324081,out_in_ratio,14.3
21,20,4,0.2,0.4762,0.2817,0.3846,1,1,1,3610,10,0.0028,0.2857,0.06,0.1389,0.3846,0.3226,0.2778,0.2174,0.2353,0.2817,A4,v4_drop_nbr_type_div,identity+rate,rate,bin.120,atfull,100,20,raw,295765,9324081,nbr_type_div,14.4
21,20,4,0.2,0.4762,0.2817,0.4348,10,1,1,3417,10,0.0029,0.2857,0.06,0.2439,0.32,0.2759,0.3509,0.2985,0.4348,0.2817,A4,v4_drop_self_loop,identity+rate,rate,bin.120,atfull,100,20,raw,295765,9324081,self_loop,14.3
27,20,4,0.2,0.4074,0.2683,0.4571,2,1,1,2252,11,0.0049,0.0,0.0,0.0536,0.4118,0.4571,0.4103,0.3404,0.2388,0.2683,A4,v4_drop_log_deg,TeRed+naive,dual_naive,bin.120,atfull,100,20,raw,285710,7306969,log_deg,11.2
27,20,5,0.25,0.5185,0.3373,0.5668,8,1,1,2074,14,0.0068,0.0,0.0,0.0236,0.4118,0.3415,0.2917,0.3636,0.5091,0.3373,A4,v4_drop_out_in_ratio,TeRed+naive,dual_naive,bin.120,atfull,100,20,raw,285710,7306969,out_in_ratio,11.2
27,20,6,0.3,0.7037,0.4207,0.5575,13,1,1,2891,19,0.0066,0.2593,0.07,0.1714,0.4118,0.3415,0.2917,0.3846,0.4776,0.4207,A4,v4_drop_nbr_type_div,TeRed+naive,dual_naive,bin.120,atfull,100,20,raw,285710,7306969,nbr_type_div,11.3
27,20,5,0.25,0.7037,0.3689,0.5963,5,1,1,2743,19,0.0069,0.2963,0.08,0.2564,0.4571,0.3721,0.3137,0.5963,0.4892,0.3689,A4,v4_drop_self_loop,TeRed+naive,dual_naive,bin.120,atfull,100,20,raw,285710,7306969,self_loop,10.7
27,20,1,0.05,0.4815,0.0906,0.65,1,1,1,2449,13,0.0053,0.0,0.0,0.0536,0.65,0.4906,0.3939,0.2826,0.1656,0.0906,A4,v4_drop_log_deg,TeRed+RATE,rate,bin.120,atfull,100,20,raw,285710,7306969,log_deg,10.5
27,20,3,0.15,0.5185,0.2327,0.5563,5,1,1,2894,14,0.0048,0.0,0.0,0.024,0.4118,0.5,0.4444,0.5563,0.3801,0.2327,A4,v4_drop_out_in_ratio,TeRed+RATE,rate,bin.120,atfull,100,20,raw,285710,7306969,out_in_ratio,10.7
27,20,6,0.3,0.7407,0.427,0.65,2,1,1,3073,20,0.0065,0.2593,0.07,0.1714,0.4571,0.65,0.5591,0.437,0.5846,0.427,A4,v4_drop_nbr_type_div,TeRed+RATE,rate,bin.120,atfull,100,20,raw,285710,7306969,nbr_type_div,10.7
27,20,5,0.25,0.7407,0.3738,0.7488,5,1,1,2571,20,0.0078,0.2963,0.08,0.2564,0.5,0.4,0.5591,0.7488,0.597,0.3738,A4,v4_drop_self_loop,TeRed+RATE,rate,bin.120,atfull,100,20,raw,285710,7306969,self_loop,10.7
6,20,2,0.1,0.5,0.1667,0.5,1,1,1,602,3,0.005,0.0,0.0,0.0019,0.5,0.4,0.3333,0.4444,0.2857,0.1667,A4,v4_drop_log_deg,identity+rate,rate,bin.6@400000,at400000,100,20,raw,24507,370937,log_deg,0.6
6,10,2,0.2,0.6667,0.3077,0.6667,1,1,1,1089,4,0.0037,0.3333,0.02,0.0548,0.6667,0.5,0.4,0.2857,0.3077,,A4,v4_drop_out_in_ratio,identity+rate,rate,bin.6@400000,at400000,100,20,raw,24507,370937,out_in_ratio,0.6
