n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
15,6,3,0.5,0.8667,0.6341,0.8889,2,1,1,744,13,0.0175,0.6,0.09,0.2609,0.75,0.8889,0.7273,0.7091,,,A4,v4_drop_out_in_ratio,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,out_in_ratio,0.6
15,20,2,0.1,0.8667,0.1793,0.8462,1,1,1,980,13,0.0133,0.1333,0.02,0.2353,0.8462,0.5946,0.7536,0.5474,0.325,0.1793,A4,v4_drop_self_loop,TeRed+RATE*,rate_ratio,bin.119@500000,at500000,100,20,raw,17252,387473,self_loop,0.6
26,20,7,0.35,0.6154,0.4462,0.6186,9,1,1,2487,16,0.0064,0.2692,0.07,0.2069,0.4706,0.381,0.4878,0.3922,0.5882,0.4462,A1,base,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,14.8
26,20,5,0.25,0.5385,0.3415,0.5556,2,1,1,1954,14,0.0072,0.2692,0.07,0.2069,0.4706,0.5556,0.4878,0.3922,0.2632,0.3415,A1,legacy_agg,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,10.8
26,20,7,0.35,0.6154,0.4462,0.6186,9,1,1,2487,16,0.0064,0.2692,0.07,0.2069,0.4706,0.381,0.4878,0.3922,0.5882,0.4462,A1,legacy_cmax,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,10.8
26,20,7,0.35,0.6154,0.4462,0.6186,9,1,1,2487,16,0.0064,0.2692,0.07,0.2069,0.4706,0.381,0.4878,0.3922,0.5882,0.4462,A1,legacy_w1,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,10.9
26,20,4,0.2,0.1538,0.1739,0.1739,20,12,0,20,4,0.2,0.2692,0.07,0.2069,0.0,0.0,0.0,0.0,0.0,0.1739,A1,no_bfs,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,0.1
26,20,7,0.35,0.6154,0.4462,0.6186,9,1,1,2487,16,0.0064,0.2692,0.07,0.2069,0.4706,0.381,0.4878,0.3922,0.5882,0.4462,A1,no_rank,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,10.9
26,20,5,0.25,0.6538,0.3617,0.5143,1,1,1,3060,17,0.0056,0.2692,0.07,0.2069,0.5143,0.4091,0.3396,0.2535,0.375,0.3617,A1,bfs_q50,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,10.8
26,18,0,0.0,0.0,0.0,0.0,0,0,0,1507,0,0.0,0.2692,0.07,0.2069,0.0,0.0,0.0,0.0,0.0,,A1,bfs_q90,TeRed+RATE*,rate_ratio,bin.120,atfull,100,20,raw,285794,7238320,9.8
