n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,first_hit,top1_hit,n_alerted_nodes,covered_gt,node_prec,flat_topk_cov,flat_topk_prec,node_best_f1,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20,group,variant,config,encoding,file,rec_tag,top_k,max_alerts,v4_scale,n_nodes_Gp,n_edges_Gp,runtime_s
35,20,8,0.4,0.7143,0.5128,0.6538,3,1,1,3081,25,0.0081,0.2857,0.1,0.2133,0.5714,0.6,0.6538,0.5368,0.5205,0.5128,A1,bfs_q50,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,13.8
35,12,1,0.0833,0.0286,0.0426,0.0541,2,2,0,668,1,0.0015,0.2857,0.1,0.2133,0.0,0.0541,0.0526,0.05,0.0444,,A1,bfs_q90,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,12.5
35,20,8,0.4,0.6857,0.5053,0.7037,4,1,1,2340,24,0.0103,0.2857,0.1,0.2133,0.4444,0.5417,0.6538,0.6468,0.6779,0.5053,A1,w050,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,13.8
35,20,8,0.4,0.6857,0.5053,0.7037,4,1,1,2340,24,0.0103,0.2857,0.1,0.2133,0.4444,0.5417,0.6538,0.6468,0.6779,0.5053,A1,w000,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,13.8
35,20,5,0.25,0.3143,0.2785,0.2949,18,5,0,990,11,0.0111,0.2857,0.1,0.2133,0.0,0.0,0.0,0.1455,0.1067,0.2785,A3,sort_p95,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,13.8
35,20,4,0.2,0.4857,0.2833,0.6275,3,1,1,3026,17,0.0056,0.0,0.0,0.0856,0.4091,0.6,0.6275,0.5189,0.3623,0.2833,A4,v4_drop_log_deg,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,log_deg,13.4
35,20,5,0.25,0.4571,0.3232,0.5904,6,1,1,1689,16,0.0095,0.0,0.0,0.0238,0.4444,0.5106,0.4528,0.5333,0.4776,0.3232,A4,v4_drop_out_in_ratio,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,out_in_ratio,14.5
35,20,7,0.35,0.6286,0.4496,0.7059,7,1,1,2182,22,0.0101,0.2857,0.1,0.2807,0.4444,0.3636,0.4272,0.6261,0.6624,0.4496,A4,v4_drop_self_loop,TeRed+naive,dual_naive,bin.117,atfull,100,20,raw,257690,8992677,self_loop,14.6
35,20,9,0.45,0.7143,0.5521,0.6792,4,1,1,2900,25,0.0086,0.2857,0.1,0.2133,0.3721,0.5417,0.6538,0.6261,0.6,0.5521,A1,base,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,14.6
35,20,5,0.25,0.5429,0.3423,0.6792,4,1,1,1599,19,0.0119,0.2857,0.1,0.2133,0.0556,0.4091,0.5417,0.6261,0.45,0.3423,A1,legacy_agg,TeRed+RATE,rate,bin.117,atfull,100,20,raw,257690,8992677,14.5
