dataset,fig,encoding,file,rec_tag,n_nodes_orig,n_nodes_Gp,n_edges_Gp,n_dim,top_k,max_alerts,v4_scale,runtime_s,n_gt,n_alerts,alert_TP,alert_P,node_cov,F1_alert,best_F1_alert,best_b,node_best_f1,node_auc,F1_alert@1,F1_alert@2,F1_alert@3,F1_alert@5,F1_alert@10,F1_alert@20
e5_cadets,tered,rate_single,bin.118,atfull,265865,256447,8021309,21,100,20,raw,40.2,34,20,6,0.3,0.6765,0.4157,0.6923,3,0.1183,0.8872,0.5833,0.64,0.6923,0.5625,0.4663,0.4157
e5_cadets,tered,dual_naive,bin.118,atfull,265865,256447,8021309,29,100,20,raw,39.4,34,20,6,0.3,0.7059,0.4211,0.6667,1,0.2018,0.8956,0.6667,0.5,0.4,0.2857,0.3904,0.4211
e5_cadets,tered,rate,bin.118,atfull,265865,256447,8021309,29,100,20,raw,39.9,34,20,6,0.3,0.7353,0.4261,0.5532,1,0.2,0.9001,0.5532,0.4333,0.3562,0.4196,0.4444,0.4261
e5_cadets,tered,none,bin.119@500000,at500000,18635,17252,387473,13,100,20,raw,5.3,15,0,0,0.0,0.0,0.0,0.0,0,0.0152,0.6768,,,,,,
e5_cadets,tered,rate_single,bin.119@500000,at500000,18635,17252,387473,21,100,20,raw,5.6,15,20,2,0.1,0.8667,0.1793,0.8889,1,0.1538,0.8926,0.8889,0.6154,0.4706,0.5474,0.325,0.1793
e5_cadets,tered,dual_naive,bin.119@500000,at500000,18635,17252,387473,29,100,20,raw,5.6,15,20,1,0.05,0.8667,0.0945,0.9286,1,0.2353,0.9058,0.9286,0.6341,0.4815,0.325,0.1793,0.0945
e5_cadets,tered,rate,bin.119@500000,at500000,18635,17252,387473,29,100,20,raw,5.9,15,20,2,0.1,0.8667,0.1793,0.8462,1,0.2353,0.914,0.8462,0.5946,0.7536,0.5474,0.325,0.1793
e5_cadets,tered,none,bin.120,atfull,295765,285794,7238320,13,100,20,raw,36.2,26,1,0,0.0,0.0,0.0,0.0,0,0.004,0.5707,0.0,,,,,
e5_cadets,tered,rate_single,bin.120,atfull,295765,285794,7238320,21,100,20,raw,37.3,26,20,4,0.2,0.4615,0.2791,0.4706,1,0.0702,0.8857,0.4706,0.381,0.4557,0.3711,0.2535,0.2791
e5_cadets,tered,dual_naive,bin.120,atfull,295765,285794,7238320,29,100,20,raw,38.0,26,20,7,0.35,0.6538,0.4559,0.5946,3,0.2034,0.8934,0.4706,0.5143,0.5946,0.4962,0.5,0.4559
e5_cadets,tered,rate,bin.120,atfull,295765,285794,7238320,29,100,20,raw,38.1,26,20,5,0.25,0.7308,0.3725,0.4768,11,0.2034,0.8958,0.4706,0.381,0.4557,0.3711,0.3636,0.3725
e5_cadets,tered,none,bin.6@400000,at400000,24507,22350,295913,13,100,20,raw,4.5,9,1,0,0.0,0.0,0.0,0.0,0,0.0016,0.6161,0.0,,,,,
e5_cadets,tered,rate_single,bin.6@400000,at400000,24507,22350,295913,21,100,20,raw,5.2,9,20,2,0.1,0.7778,0.1772,0.875,2,0.0051,0.8194,0.8,0.875,0.7179,0.5283,0.3182,0.1772
e5_cadets,tered,dual_naive,bin.6@400000,at400000,24507,22350,295913,29,100,20,raw,5.1,9,20,2,0.1,0.7778,0.1772,0.875,2,0.0046,0.8262,0.2,0.875,0.7179,0.5283,0.3182,0.1772
e5_cadets,tered,rate,bin.6@400000,at400000,24507,22350,295913,29,100,20,raw,5.1,9,20,2,0.1,0.7778,0.1772,0.875,2,0.0054,0.8369,0.2,0.875,0.7179,0.5283,0.3182,0.1772
e5_cadets,tered,none,bin.7@400000,at400000,17797,16295,326814,13,100,20,raw,4.6,11,0,0,0.0,0.0,0.0,0.0,0,0.0122,0.5031,,,,,,
e5_cadets,tered,rate_single,bin.7@400000,at400000,17797,16295,326814,21,100,20,raw,5.3,11,20,3,0.15,0.8182,0.2535,0.9,3,0.125,0.7814,0.5333,0.7778,0.9,0.6923,0.439,0.2535
e5_cadets,tered,dual_naive,bin.7@400000,at400000,17797,16295,326814,29,100,20,raw,5.4,11,20,3,0.15,0.8182,0.2535,0.9,3,0.1538,0.7969,0.5333,0.7059,0.9,0.6923,0.439,0.2535
e5_cadets,tered,rate,bin.7@400000,at400000,17797,16295,326814,29,100,20,raw,5.4,11,20,3,0.15,0.8182,0.2535,0.8421,2,0.1538,0.8043,0.7059,0.8421,0.6957,0.5161,0.439,0.2535
